 Morbidade Hospitalar do SUS - por local de internação - São Paulo
Internações por Município e Ano/mês processamento
Divisão administ estadual: 3514 São João da Boa Vista
Lista Morb  CID-10: Acid vascular cerebr não espec hemorrág ou isquêm
Período:Jan/2008-Abr/2021
"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"Total"
"354970 São José do Rio Pardo";4;15;6;4;4;3;8;12;8;15;5;5;9;8;4;5;17;15;13;10;13;12;10;10;15;4;9;4;17;18;9;14;11;6;8;14;14;5;6;10;20;21;23;8;17;14;9;14;15;2;13;11;14;17;12;6;12;8;14;10;15;6;18;10;8;8;9;22;14;7;8;12;14;10;8;12;5;17;11;10;15;11;12;14;13;9;9;15;12;21;21;8;19;7;6;6;8;7;7;3;17;7;17;16;14;10;12;8;13;9;14;3;10;14;11;11;14;9;11;10;9;14;5;5;3;7;8;8;7;10;8;10;5;8;11;4;16;10;17;6;10;10;12;6;10;11;15;6;9;21;10;7;11;14;12;9;8;3;9;12;1692
"355080 São Sebastião da Grama";2;1;1;-;1;-;1;3;-;2;3;-;-;-;1;-;4;1;1;2;4;3;4;-;4;1;4;3;1;3;1;1;2;-;4;4;1;4;1;1;-;3;1;4;2;5;4;4;1;-;1;-;2;-;3;2;4;-;3;1;-;3;2;2;1;1;1;1;1;-;2;1;-;-;-;3;1;-;-;-;-;-;2;1;1;-;1;1;-;2;1;1;1;-;-;-;-;1;1;-;1;1;-;1;1;-;-;-;3;3;1;-;-;2;-;1;-;3;4;1;-;1;1;-;1;1;4;2;-;-;-;3;-;1;1;1;1;1;5;1;1;2;-;1;-;-;-;2;-;-;3;-;1;-;-;2;-;-;1;-;200
"355330 Tambaú";2;4;2;2;2;1;5;3;4;2;2;4;3;2;1;3;1;1;2;-;2;2;1;3;2;-;-;1;2;3;1;1;1;1;1;-;1;3;2;3;-;2;-;1;-;1;2;-;2;2;3;1;1;1;-;-;1;-;2;-;6;1;3;-;1;1;-;2;1;2;2;2;1;2;-;-;-;1;2;1;-;1;-;-;1;1;1;2;2;-;1;1;-;1;1;1;4;1;2;2;2;3;2;2;-;-;-;3;3;2;-;1;1;-;-;3;1;1;-;1;-;-;-;1;2;-;-;2;-;-;-;1;1;-;2;1;-;5;2;-;-;-;1;1;-;1;2;2;2;1;3;-;-;-;-;-;-;-;3;-;203
"355360 Tapiratiba";1;1;1;1;2;-;1;-;2;1;-;2;2;-;-;2;2;-;3;-;-;1;-;-;2;1;2;2;1;5;4;1;-;-;-;-;-;-;1;1;1;1;1;-;-;-;1;-;-;-;1;-;1;-;1;-;1;1;3;-;-;1;2;-;-;-;-;1;-;-;2;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;82
"355640 Vargem Grande do Sul";-;5;13;10;8;9;11;2;9;5;10;4;11;12;8;6;7;5;6;10;3;4;3;6;1;1;9;4;3;6;9;5;7;10;3;7;4;3;4;8;3;5;9;5;6;4;3;2;5;2;6;4;2;3;2;6;4;5;5;8;-;1;5;4;10;5;5;5;3;3;5;6;5;7;1;3;2;5;4;8;3;4;4;11;9;7;7;5;4;6;2;3;3;9;6;7;5;2;8;7;4;11;3;3;8;2;2;7;5;6;6;11;3;5;4;5;5;7;9;11;3;7;4;3;2;6;2;-;4;3;3;4;8;5;8;3;2;1;2;2;-;1;3;5;6;4;2;6;4;6;3;2;1;6;5;3;1;7;4;6;803
"Total";42;60;53;37;44;56;76;53;55;52;59;64;72;59;56;47;65;66;79;72;66;65;67;73;81;65;72;66;84;79;83;75;90;70;70;110;82;79;89;79;89;132;91;99;92;85;89;92;95;66;74;76;98;113;89;88;83;111;86;80;78;63;82;76;77;61;90;90;88;74;84;87;80;95;74;84;80;94;110;91;104;87;81;84;94;76;90;70;77;80;76;81;90;81;69;62;62;69;80;71;74;74;92;81;96;75;70;70;89;78;64;62;65;89;83;79;78;64;91;63;66;76;65;59;69;65;58;64;65;80;60;76;62;59;67;75;68;63;76;67;58;60;73;82;65;60;62;68;75;63;75;47;59;58;60;65;68;51;66;55;11929
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
