 Morbidade Hospitalar do SUS - por local de internação - São Paulo
Internações por Município e Ano/mês processamento
Divisão administ estadual: 3513 Ribeirão Preto
Lista Morb  CID-10: Acid vascular cerebr não espec hemorrág ou isquêm
Período:Jan/2008-Abr/2021
"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"Total"
"354340 Ribeirão Preto";22;21;6;10;2;12;9;11;16;9;13;43;40;47;40;29;40;36;44;22;25;28;44;35;21;47;29;45;55;55;55;43;49;42;42;42;44;46;51;45;44;49;62;40;41;37;44;36;39;48;34;35;39;36;39;51;38;28;35;47;44;33;34;49;28;60;38;45;41;44;40;33;46;34;39;43;43;45;50;46;53;45;33;45;36;43;47;43;51;36;44;50;58;63;51;40;53;61;60;55;77;59;57;65;46;39;34;29;56;72;40;38;46;73;54;51;71;51;76;56;59;47;61;43;48;56;64;43;64;73;61;65;64;55;78;50;57;68;64;51;60;51;59;60;58;59;54;55;40;61;42;45;44;61;76;39;55;60;55;53;7287
"354750 Santa Rita do Passa Quatro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;11
"354760 Santa Rosa de Viterbo";4;-;2;3;1;5;2;-;3;1;3;3;5;3;1;1;2;-;-;2;2;2;2;2;2;6;4;1;2;2;3;-;3;-;6;4;-;1;-;1;1;3;3;2;3;-;7;1;5;2;5;3;1;2;2;3;3;-;4;3;-;1;-;1;-;3;-;-;2;-;2;-;5;-;-;2;1;-;7;2;2;1;6;1;2;-;-;-;2;1;1;-;-;-;-;2;1;2;3;-;3;2;5;5;2;2;2;-;1;4;-;3;1;2;6;2;2;1;1;1;2;2;2;-;-;2;1;3;3;-;1;1;3;2;1;1;-;-;2;1;2;1;1;-;1;2;3;2;-;2;-;1;2;3;1;1;-;1;1;2;285
"354790 Santo Antônio da Alegria";-;-;-;-;-;-;1;-;1;-;-;-;1;-;1;1;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;2;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;35
"355090 São Simão";2;-;-;1;-;-;-;-;-;-;-;2;2;-;2;1;-;3;2;4;2;1;1;1;2;-;-;2;1;-;1;5;3;2;2;3;1;-;1;1;2;1;1;3;3;1;-;-;2;4;1;1;3;2;2;1;2;3;1;3;1;1;2;-;1;1;1;-;1;4;-;-;2;1;-;-;1;-;-;-;1;1;-;1;-;-;1;-;-;3;-;-;-;-;-;-;-;-;1;-;1;1;2;1;1;2;1;-;-;3;-;-;1;2;-;-;1;-;1;-;3;-;1;-;-;1;2;3;-;3;-;-;1;-;-;-;1;1;1;-;1;1;-;-;-;-;1;-;-;2;-;-;-;2;1;-;1;-;-;-;151
"355150 Serrana";-;2;-;-;1;-;1;-;-;-;1;2;2;1;1;3;2;2;4;1;3;6;2;1;2;2;4;2;3;6;10;5;1;2;3;2;-;3;-;7;3;5;2;3;4;2;2;2;2;5;1;3;3;2;-;1;2;1;1;3;3;2;3;-;2;2;-;2;1;2;2;2;-;2;1;1;2;3;-;2;3;1;2;2;4;-;1;-;-;1;1;3;2;1;3;2;2;1;3;3;2;4;4;2;2;4;7;1;3;1;4;3;2;2;-;-;3;2;-;2;2;1;-;-;-;1;1;4;-;2;2;7;2;-;-;-;2;2;3;2;3;2;1;3;-;3;3;3;4;3;1;-;1;4;-;2;5;3;-;1;322
"355170 Sertãozinho";16;8;1;4;7;2;6;1;-;2;1;-;1;-;2;-;-;2;3;3;-;6;4;1;1;1;-;3;4;4;6;14;8;9;9;9;1;3;5;4;5;2;3;-;-;-;1;2;1;-;-;1;4;6;2;3;2;1;4;3;4;2;1;3;5;5;4;2;2;8;1;2;5;1;5;11;7;8;8;10;6;12;6;4;6;5;16;4;9;9;11;11;8;2;13;10;10;2;5;7;13;8;8;13;11;7;15;18;14;13;4;3;14;10;16;14;9;11;10;18;11;14;11;9;12;10;8;11;14;7;7;7;6;9;7;11;9;9;8;10;12;12;11;6;15;13;6;4;10;12;13;13;7;8;11;14;3;7;9;7;1053
"Total";65;69;33;46;45;43;44;32;44;46;32;74;70;78;81;53;80;77;86;65;73;64;79;59;48;99;59;86;84;92;95;102;94;80;87;83;67;68;72;87;78;94;107;78;92;64;83;65;71;66;59;61;73;66;66;69;67;55;63;89;77;57;61;69;63;91;59;77;64;74;54;50;78;48;66;77;77;73;84;83;86;88;64;89;67;72;80;64;73;74;74;88;93;93;101;76;89;83;102;85;112;99;107;103;80;80;89;75;101;122;64;77;103;112;98;102;114;92;106;110;99;79;101;71;86;86;102;84;98;105;86;98;100;80;105;79;81;94;103;79;96;72;85;86;99;95;91;85;76;96;76;75;82;94;108;74;82;98;82;91;12735
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
